title;avaliacao;valor;descricao;numero;endereco
RIBEIRAO PRETO - LAR GRECIA;Valor de avaliação: R$ 190.000,00;Valor mínimo de venda: R$ 114.838,57 ( desconto de 39,56%);Apartamento - 95,08 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771156863-8;RUA ALFREDO PUCCI,N. 80 Apto. 22 BL A TORRE 2, , BONFIM PAULISTA
RIBEIRAO PRETO - LAR ITALIA;Valor de avaliação: R$ 142.000,00;Valor mínimo de venda: R$ 83.135,75 ( desconto de 41,45%);Apartamento - 88,89 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553822962-7;RUA CIRCULAR,N. 100 Apto. 32 BL B, TORRE 1, , ESTRADA MUNICIPAL
RIBEIRAO PRETO - VITTA JARDIM DOS FLAMBOYANTS;Valor de avaliação: R$ 168.000,00;Valor mínimo de venda: R$ 97.066,99 ( desconto de 42,22%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771142469-5;RUA JOAO CARVALHO RUFINO,N. 1400 Apto. 33 BL C TORRE 6, , VITTA JRD D FLAMBOYA
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770878760-0;VIA JERÔNIMO AFRELDO AMOR ESPIN,N. 400 Apto. 11 BL F, TORRE 1, , FAZENDA PALMEIRAS
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 161.000,00;Valor mínimo de venda: R$ 95.407,73 ( desconto de 40,74%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770916262-0;VIA JERÔNIMO ALFREDO AMOR ESPIN,N. 400 Apto. 33 BL A, TORRE 1, , FAZENDA PALMEIRAS
RIBEIRAO PRETO - PQ ROMANCE;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - - Venda Direta Online;844443078786-4;AV ALFREDO RAVANELI,N. 3409 Apto. 206 BL 5,
RIBEIRAO PRETO - COND VITTA RECANTO DAS PALMEIRAS;Valor de avaliação: R$ 158.000,00;Valor mínimo de venda: R$ 93.629,95 ( desconto de 40,74%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;855553985623-4;AVENIDA DOUTOR FERNANDO MENDES GARCIA,N. 2720 Apto. 03 BL E T 03, , FLORESTAN FERNANDES
RIBEIRAO PRETO - PORTAL MIRANTE DA COLINA;Valor de avaliação: R$ 230.000,00;Valor mínimo de venda: R$ 139.015,11 ( desconto de 39,56%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;878771103316-5;AVENIDA EDUARDO ANDREA MATARAZZO,N. 6050 Apto. 103 TORRE 06,
RIBEIRAO PRETO - VITTA PARQUE DOS MACANÁS;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 88,44 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771014883-0;ESTRADA VICENTE CANUTO,N. 280 Apto. 31 3º PAVIMENTO, BLOCO B, TORRE 1, , VITTA PARQUE DOS MAN
RIBEIRAO PRETO - GREEN;Valor de avaliação: R$ 240.000,00;Valor mínimo de venda: R$ 152.955,43 ( desconto de 36,27%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;178770156634-0;RUA BENEDITO GIR,N. 230 Apto. 306, , BONFIM PAULISTA
RIBEIRAO PRETO - CONQUISTA HORIZONTE;Valor de avaliação: R$ 190.000,00;Valor mínimo de venda: R$ 114.838,57 ( desconto de 39,56%);Apartamento - 105,49 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771866346-6;RUA GERALDO RINHEL SOBRINHO,N. 400 Apto. 102 BL 06, TERREO,
RIBEIRAO PRETO - CONQUISTA HORIZONTE;Valor de avaliação: R$ 168.000,00;Valor mínimo de venda: R$ 99.555,89 ( desconto de 40,74%);Apartamento - 91,21 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878772020685-9;RUA GERALDO RINHEL SOBRINHO,N. 400 Apto. 207 BL 4,
RIBEIRAO PRETO - VITTA JARDIM DOS FLAMBOYANTS;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 94,93 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771254111-3;RUA JOÃO CARVALHO RUFINO,N. 1400 Apto. 3 BL D, TORRE 5, , LOT SANTA MARTA
RIBEIRAO PRETO - VITTA HEITOR RIGON 3;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 89,45 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770542077-2;RUA JOSE DE ALCANTARA,N. 765 Apto. 13 BLC,TORRE 4,
RIBEIRAO PRETO - RESIDENCIAL BOSQUE DO CERRADO;Valor de avaliação: R$ 131.500,00;Valor mínimo de venda: R$ 76.174,41 ( desconto de 42,07%);Apartamento - 106,52 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553129704-0;RUA LARA NILSA RAFFAINI CACAO,N. 630 Apto. 34 03 ANDAR BL 10, , SUBSETOR NORTE
RIBEIRAO PRETO - PARQUE REMANSO DO BOSQUE;Valor de avaliação: R$ 146.000,00;Valor mínimo de venda: R$ 85.477,60 ( desconto de 41,45%);Apartamento - 100,18 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553775607-0;RUA LUIZ CROPANESE SPADARO JUNIOR,N. 100 Apto. 404 BL 07,
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 141.000,00;Valor mínimo de venda: R$ 82.550,28 ( desconto de 41,45%);Apartamento - 64,24 m2, 2 quarto(s) - Venda Direta Online;878771346766-9;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 401 BL 23,
RIBEIRAO PRETO - RES PALADIO;Valor de avaliação: R$ 169.500,00;Valor mínimo de venda: R$ 100.444,78 ( desconto de 40,74%);Apartamento - 79,94 m2, 2 quarto(s) - Venda Direta Online;878771478869-8;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 302 BL 11, , LOTEAMENTO RESERVA O
RIBEIRAO PRETO - VITTA JARDIM INTERLAGOS;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 98,67 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770193424-0;RUA ZILDA DE SOUZA RIZZI,N. 751 Apto. 22 PAV 02 BL B T 01, , JARDIM INTERLAGOS
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 142.000,00;Valor mínimo de venda: R$ 83.135,75 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770960941-1;VIA JERONIMO ALFREDO AMOR ESPIN,N. 400 Apto. 14 BL E, TORRE 3, , FAZENDA PALMEIRAS
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771046493-6;VIA JERONIMO ALFREDO AMOR ESPIN,N. 400 Apto. 14 BL A, TR 01, , AREA RURAL DE RIBEIRAO PRETO
RIBEIRAO PRETO - COND MAIS CAMPOS ELISEOS;Valor de avaliação: R$ 200.000,00;Valor mínimo de venda: R$ 125.884,66 ( desconto de 37,06%);Apartamento - 57,53 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;844441243181-6;RUA DOUTOR EDGARD CAJADO,N. 245 Apto. 28 3 PAV TORRE 1, , CAMPOS ELISEOS
RIBEIRAO PRETO - VITTA CAMPOS ELISIOS;Valor de avaliação: R$ 159.000,00;Valor mínimo de venda: R$ 89.511,41 ( desconto de 43,7%);Apartamento - 93,58 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855554005268-2;RUA MARTINS PENA,N. 145 Apto. 23 BL A, TORRE 1, , CAMPOS ELISEOS
RIBEIRAO PRETO - VITTA CAMPOS ELISEOS;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 88,11 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855554013045-4;RUA MARTINS PENA,N. 145 Apto. 24 2 PAVIMENTO TORRE 02 BL C, , CAMPOS ELISEOS
RIBEIRAO PRETO - CONDOMINIO EDIFICIO FLAMBOYANT;Valor de avaliação: R$ 1.350.000,00;Valor mínimo de venda: R$ 860.374,31 ( desconto de 36,27%);Apartamento - 580,21 m2, 4 quarto(s), 3 vaga(s) na garagem - Venda Direta Online;144441633347-0;RUA CERQUEIRA CESAR,N. 1070 Apto. 12, , CENTRO
RIBEIRAO PRETO - ED SAN LEANDRO;Valor de avaliação: R$ 370.000,00;Valor mínimo de venda: R$ 203.329,56 ( desconto de 45,05%);Apartamento - 3 quarto(s) - Venda Direta Online;144440361635-5;RUA SAO SEBASTIAO,N. 682 Apto. 131 0, , CENTRO
RIBEIRAO PRETO - PORTAL MIRANTE DA COLINA;Valor de avaliação: R$ 253.000,00;Valor mínimo de venda: R$ 154.913,04 ( desconto de 38,77%);Apartamento - 122,5 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771551818-0;AV EDUARDO ANDREA MATARAZZO,N. 6050 Apto. 404 TORRE 1, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - PORTAL MIRANTE DA COLINA;Valor de avaliação: R$ 248.500,00;Valor mínimo de venda: R$ 158.372,60 ( desconto de 36,27%);Apartamento - 122,5 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;178770101765-7;AVENIDA EDUARDO ANDREA MATARAZZO,N. 6050 Apto. 502 TORRE 5, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - PORTAL MIRANTE DA COLINA;Valor de avaliação: R$ 230.000,00;Valor mínimo de venda: R$ 139.015,11 ( desconto de 39,56%);Apartamento - 122,5 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771118591-7;AVENIDA EDUARDO ANDREA MATARAZZO,N. 6050 Apto. 804 TORRE 5, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - VITTA PQ DOS MANACAS;Valor de avaliação: R$ 157.000,00;Valor mínimo de venda: R$ 93.037,35 ( desconto de 40,74%);Apartamento - 88,44 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770941247-2;ESTRADA VICENTE CANUTO,N. 280 Apto. 33 BL D, TORRE 2, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - VITTA PARQUE DAS MANACAS;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 75,95 m2, 2 quarto(s) - Venda Direta Online;878771005947-0;ESTRADA VICENTE CANUTO,N. 280 Apto. 21 BL B, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - VITTA PARQUE DOS MACANÁS;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 88,44 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771014875-9;ESTRADA VICENTE CANUTO,N. 280 Apto. 11 TORRE 02 - BLOCO C, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - Vitta Parque dos Manacas;Valor de avaliação: R$ 165.000,00;Valor mínimo de venda: R$ 97.778,11 ( desconto de 40,74%);Apartamento - 88,44 m2, 2 quarto(s) - Venda Direta Online;878771046379-4;ESTRADA VICENTE CANUTO,N. 280 Apto. 14 BL B - TORRE 3, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - PARQUE DO MANACAS;Valor de avaliação: R$ 165.000,00;Valor mínimo de venda: R$ 90.444,75 ( desconto de 45,18%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771197104-1;ESTRADA VICENTE CANUTO,N. 280 Apto. 14 14, DTORRE 5, CONDOMINIO VITTA PARQUE D, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - VITTA PQ DOS MACANÁS;Valor de avaliação: R$ 172.800,00;Valor mínimo de venda: R$ 102.400,35 ( desconto de 40,74%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771211749-4;ESTRADA VICENTE CANUTO,N. 280 Apto. 12 TR 4 BL C, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - VITTA PQ DOS MANACAS;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - 88,44 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771642675-0;ESTRADA VICENTE CANUTO,N. 280 Apto. 01 TERREO TR 02 BL C, , CHACARAS PEDRO CORREA DE CARVALHO
RIBEIRAO PRETO - PARQUE ROMANCE;Valor de avaliação: R$ 210.000,00;Valor mínimo de venda: R$ 126.926,84 ( desconto de 39,56%);Apartamento - 105,46 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553351640-7;AV ALFREDO RAVANELI,N. 3409 Apto. 305 BL 4, , CONJUNTO HABITACIONAL JARDIM DAS PA
RIBEIRAO PRETO - LAR CHILE;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 93,55 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553894483-0;AV DR MARCOS ANTONIO MACARIO DOS SANTOS,N. 780 Apto. 21 BL E TORRE 3 - VILLARRICA, , CONJUNTO HABITACIONAL JARDIM DAS PA
RIBEIRAO PRETO - PARQUE REMANSO DO BOSQUE;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553834350-0;RUA LUIZ CROPANESE JUNIOR,N. 100 Apto. 304 BL 19, , CONJUNTO HABITACIONAL SILVIO PASSAL
RIBEIRAO PRETO - PARQUE REMANSO DO BOSQUE;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553847252-1;RUA LUIZ CROPANESE SPADARO JUNIOR,N. 100 Apto. 102 BL 18, , CONJUNTO HABITACIONAL SILVIO PASSAL
RIBEIRAO PRETO - PARQUE REMANSO DO BOSQUE;Valor de avaliação: R$ 167.000,00;Valor mínimo de venda: R$ 98.963,30 ( desconto de 40,74%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553983962-3;RUA LUIZ CROPANESE SPADARO JUNIOR,N. 100 Apto. 202 BLOCO 17, VAGA Nº 224, CONJUNTO HABITACIONAL SILVIO PASSAL
RIBEIRAO PRETO - PARQUE REMANSO DO BOSQUE;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553786984-3;RUA TRES,N. 100 Apto. 103 BL01 VG302 G, , CONJUNTO HABITACIONAL SILVIO PASSAL
RIBEIRAO PRETO - COND RES VIVENDA RIBEIRAO II;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 120 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855552062344-7;RUA PADRE BENTO DIAS PACHECO,N. 380 Apto. 14 BL H, , GERALDO CORREIA DE CARVALHO
RIBEIRAO PRETO - COND CONJ RES PRIMAVERA;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 98.816,70 ( desconto de 38,24%);Apartamento - 66,27 m2, 2 quarto(s) - Venda Direta Online;144440364686-6;AVENIDA PARIS,N. 707 Apto. 13 BLOCO B-30 Nº 269, , INDEPENDENCIA
RIBEIRAO PRETO - VITTA VIA NORTE 2;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - 88,21 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553737832-7;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 02 TORRE 2 - BL A, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 2;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 85.623,96 ( desconto de 42,92%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553741012-3;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 03 BL C, TORRE 01, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 1;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 86,88 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553763761-6;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 12 BLOCO C - TORRE 3, , IPIRANGA
RIBEIRAO PRETO - COND VITA VIA NORTE 2;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 85.623,96 ( desconto de 42,92%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553765136-8;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 32 BL D TORRE 3, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 1;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 77.866,57 ( desconto de 44,38%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553772349-0;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 11 TORRE 1 BL E, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE I;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 86,88 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553775528-7;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 33 TORRE 5, BL B, , IPIRANGA
RIBEIRAO PRETO - COND VITA VIA NORTE 2;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 85.623,96 ( desconto de 42,92%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553790773-7;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 33 BL C TORRE 6, , IPIRANGA
RIBEIRAO PRETO - IPIRANGA;Valor de avaliação: R$ 135.000,00;Valor mínimo de venda: R$ 78.201,87 ( desconto de 42,07%);Apartamento - 86,88 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553811102-2;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 33 TORRE 05 BL F 03 PAVIMENTO,
RIBEIRAO PRETO - VITTA VIA NORTE 2;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 96.553,20 ( desconto de 44,83%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553819120-4;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 32 BL A TORRE 2, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 1;Valor de avaliação: R$ 163.500,00;Valor mínimo de venda: R$ 92.044,75 ( desconto de 43,7%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553837009-5;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 33 ET-7 BL E, , IPIRANGA
RIBEIRAO PRETO - COND VITTA VIA NORTE 2;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 101.111,45 ( desconto de 42,22%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553862884-0;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 04 TORRE-02 BL-F, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 2;Valor de avaliação: R$ 138.000,00;Valor mínimo de venda: R$ 79.939,69 ( desconto de 42,07%);Apartamento - 88,21 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553863782-2;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4875 Apto. 02 BL D TORRE 5, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 1;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 86,89 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553887077-2;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 14 BL E TORRE 05, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 1;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;855553899942-2;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 14 TORRE 6, BL B, , IPIRANGA
RIBEIRAO PRETO - VITTA VIA NORTE 1;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 86,89 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553904819-7;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 22 2 PAV TR 07 BL E, , IPIRANGA
RIBEIRAO PRETO - VITA VIA NORTE 1;Valor de avaliação: R$ 158.000,00;Valor mínimo de venda: R$ 91.289,20 ( desconto de 42,22%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855554000455-6;AVENIDA EDUARDO ANDREA MATARAZZO,N. 4635 Apto. 01 TORRE 06 , BL D 01,, , IPIRANGA
RIBEIRAO PRETO - CONDOMÍNIO VITTA ITAJUBÁ;Valor de avaliação: R$ 154.000,00;Valor mínimo de venda: R$ 90.161,30 ( desconto de 41,45%);Apartamento - 89,41 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;844442968199-3;RUA ITAJUBA,N. 1161 Apto. 21 TORRE 2 BLOCO A, , IPIRANGA
RIBEIRAO PRETO - PARQUE DAS ROSEIRAS;Valor de avaliação: R$ 146.000,00;Valor mínimo de venda: R$ 83.340,66 ( desconto de 42,92%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553628072-2;RUA RIO PARAGUACU,N. 1011 Apto. 301 BL 02, , IPIRANGA
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 145.000,00;Valor mínimo de venda: R$ 84.892,14 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770849594-3;ESTRADA ANTONIA MUGNATTO MARINCEK,N. 400 Apto. 22 BLOCO B TORRE 1, , JARDIM AEROPORTO
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771393022-9;ESTRADA ANTONIA MUGNATTO MARINCEK,N. 400 Apto. 4 BLOCO C TORRE 2, , JARDIM AEROPORTO
